UniversityName
Università degli Studi EUROPEA di ROMA
"Università degli Studi di ROMA ""Foro Italico"""
"Università degli Studi di ROMA ""La Sapienza"""
"Università degli Studi di ROMA ""Tor Vergata"""
Università degli Studi ROMA TRE
"Università ""Campus Bio-Medico"" di ROMA"
"Libera Univ. Inter.le Studi Sociali ""Guido Carli"" LUISS-ROMA"
Università degli Studi Internazionali di ROMA (UNINT)
"Libera Università degli Studi ""Maria SS.Assunta"" - LUMSA"
LINK CAMPUS University
Università Telematica GUGLIELMO MARCONI
Università Telematica San Raffaele Roma
Università Telematica Internazionale UNINETTUNO
Università Telematica UNITELMA SAPIENZA
UNICUSANO Università degli Studi Niccolò Cusano - Telematica Roma
