UniversityName;DepartmentName;Address;UniversityId
"Università degli Studi di ROMA ""La Sapienza""";Scienze dell'antichità;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Scienze della terra;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Scienze di base e applicate per l'ingegneria;Via Antonio Scarpa, 16 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Scienze documentarie, linguistico-filologiche e geografiche;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Scienze ginecologico-ostetriche e scienze urologiche;V.le del Policlinico, 155 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Scienze giuridiche;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Scienze medico-chirurgiche e di Medicina traslazionale;Piazza Sassari, 3 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Scienze odontostomatologiche e maxillo-facciali;Viale Caserta, 6 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Scienze politiche;P.le Aldo Moro, 6 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Scienze radiologiche, oncologiche e anatomo-patologiche;Viale Regina Elena, 324 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Scienze sociali ed economiche;Via Salaria, 113 - 00198 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Scienze statistiche;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Storia dell'arte e spettacolo;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Storia, culture, religioni;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Storia, disegno e restauro dell’architettura;Piazza Borghese, 9 - 00186 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Studi europei, americani e interculturali;Villa Mirafiori - Via Carlo Fea, 2 - 00161 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Studi giuridici, filosofici ed economici;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""La Sapienza""";Studi greco-latini, italiani, scenico-musicali;P.le Aldo Moro, 5 - 00185 ROMA (RM) ;3
"Università degli Studi di ROMA ""Tor Vergata""";Biologia;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Biomedicina e Prevenzione;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Diritto Privato;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Diritto Pubblico;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Economia e Finanza;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Fisica;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Ingegneria Civile e Ingegneria Informatica;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Ingegneria Elettronica;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Ingegneria Industriale;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";"Ingegneria dell'Impresa ""Mario Lucertini""";Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Management e Diritto;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Matematica;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Medicina Sperimentale e Chirurgia;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Medicina dei sistemi;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Scienze Cliniche e Medicina Traslazionale;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Scienze e Tecnologie Chimiche;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Storia, patrimonio culturale, formazione e società;Via Orazio Raimondo, 18, 00173 Roma;4
"Università degli Studi di ROMA ""Tor Vergata""";Studi letterari, filosofici e di Storia dell'arte;Via Orazio Raimondo, 18, 00173 Roma;4
Università degli Studi ROMA TRE;Architettura;Largo Giovanni Battista Marzi, 10 - 00153 ROMA (RM) ;5
Università degli Studi ROMA TRE;Economia;via S. D'Amico, n° 77 - Roma - 00145 ROMA (RM) ;5
Università degli Studi ROMA TRE;Filosofia, Comunicazione e Spettacolo;Via Ostiense 234 - Roma - 00144 ROMA (RM) ;5
Università degli Studi ROMA TRE;Giurisprudenza;via Ostiense, 161 - Roma - 00154 ROMA (RM) ;5
Università degli Studi ROMA TRE;Ingegneria;Via Vito Volterra, 62 - Roma - 00146 ROMA (RM) ;5
Università degli Studi ROMA TRE;Lingue, Letterature e Culture Straniere;via del Valco di San Paolo, 19 - Roma - 00146 ROMA (RM) ;5
Università degli Studi ROMA TRE;Matematica e Fisica;via della Vasca Navale, 84 - Roma - 00146 ROMA (RM) ;5
Università degli Studi ROMA TRE;Scienze;viale Guglielmo Marconi, 446 - Roma - 00146 ROMA (RM) ;5
Università degli Studi ROMA TRE;Scienze Politiche;Via G. Chiabrera, 199 - Roma - 00145 ROMA (RM) ;5
Università degli Studi ROMA TRE;Scienze della Formazione;Via del Castro Pretorio, 20 - Roma - 00185 ROMA (RM) ;5
Università degli Studi ROMA TRE;Studi Aziendali;Via S. D'Amico, n° 77 - Roma - 00145 ROMA (RM) ;5
Università degli Studi ROMA TRE;Studi Umanistici;Via Ostiense, 234-236 - Roma - 00146 ROMA (RM) ;5
