DepartmentName;Address
Scienze Cliniche e Medicina Traslazionale; -  ROMA (RM) 
Scienze e Tecnologie Chimiche; -  ROMA (RM) 
Storia, patrimonio culturale, formazione e società; -  ROMA (RM) 
Studi letterari, filosofici e di Storia dell'arte; -  ROMA (RM) 
Architettura;Largo Giovanni Battista Marzi, 10 - 00153 ROMA (RM) 
Economia;via S. D'Amico, n° 77 - Roma - 00145 ROMA (RM) 
Filosofia, Comunicazione e Spettacolo;Via Ostiense 234 - Roma - 00144 ROMA (RM) 
Giurisprudenza;via Ostiense, 161 - Roma - 00154 ROMA (RM) 
Ingegneria;Via Vito Volterra, 62 - Roma - 00146 ROMA (RM) 
Lingue, Letterature e Culture Straniere;via del Valco di San Paolo, 19 - Roma - 00146 ROMA (RM) 
Matematica e Fisica;via della Vasca Navale, 84 - Roma - 00146 ROMA (RM) 
Scienze;viale Guglielmo Marconi, 446 - Roma - 00146 ROMA (RM) 
Scienze Politiche;Via G. Chiabrera, 199 - Roma - 00145 ROMA (RM) 
Scienze della Formazione;Via del Castro Pretorio, 20 - Roma - 00185 ROMA (RM) 
Studi Aziendali;Via S. D'Amico, n° 77 - Roma - 00145 ROMA (RM) 
Studi Umanistici;Via Ostiense, 234-236 - Roma - 00146 ROMA (RM) 
Ingegneria;Via Alvaro del Portillo, 21 - 00128 ROMA (RM) 
Medicina e Chirurgia;Via Alvaro del Portillo, 21 - 00128 ROMA (RM) 
ECONOMIA E FINANZA;VIALE ROMANIA, 32 - 00197 ROMA (RM) 
GIURISPRUDENZA;VIA PARENZO,11 - 00198 ROMA (RM) 
IMPRESA E MANAGEMENT;VIALE ROMANIA, 32 - 00197 ROMA (RM) 
SCIENZE POLITICHE;VIALE ROMANIA, 32 - 00197 ROMA (RM) 
PIO V ; - 00100 ROMA (RM) 
Giurisprudenza;VIA POMPEO MAGNO 22 - 00192 ROMA (RM) 
Giurisprudenza (corsi di laurea a Palermo);Via della Traspontina n. 21 - 00193 ROMA (RM) 
